id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_investasi,satuan,tahun
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,264912827210,RUPIAH,2015
32,32,JAWA BARAT,3205,KABUPATEN GARUT,0,RUPIAH,2015
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2015
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2015
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,RUPIAH,2015
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,235974047529,RUPIAH,2015
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,RUPIAH,2015
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,421000550000,RUPIAH,2015
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66762500000,RUPIAH,2015
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,14175002213,RUPIAH,2015
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56300001549,RUPIAH,2015
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,RUPIAH,2015
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,1588696014606,RUPIAH,2015
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,116955000000,RUPIAH,2015
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2015
46,32,JAWA BARAT,3271,KOTA BOGOR,0,RUPIAH,2015
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2015
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,RUPIAH,2015
49,32,JAWA BARAT,3274,KOTA CIREBON,0,RUPIAH,2015
50,32,JAWA BARAT,3275,KOTA BEKASI,0,RUPIAH,2015
51,32,JAWA BARAT,3276,KOTA DEPOK,0,RUPIAH,2015
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,RUPIAH,2015
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2015
54,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2015
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,998154360964,RUPIAH,2016
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,71054550000,RUPIAH,2016
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,424119723395,RUPIAH,2016
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,822150000,RUPIAH,2016
59,32,JAWA BARAT,3205,KABUPATEN GARUT,0,RUPIAH,2016
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2016
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2016
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,RUPIAH,2016
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,315503084706,RUPIAH,2016
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,RUPIAH,2016
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,242978427923,RUPIAH,2016
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,RUPIAH,2016
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,2748031765,RUPIAH,2016
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,219807327365,RUPIAH,2016
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,23491461798,RUPIAH,2016
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,1181419684629,RUPIAH,2016
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,119394016071,RUPIAH,2016
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2016
73,32,JAWA BARAT,3271,KOTA BOGOR,0,RUPIAH,2016
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2016
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,RUPIAH,2016
76,32,JAWA BARAT,3274,KOTA CIREBON,0,RUPIAH,2016
77,32,JAWA BARAT,3275,KOTA BEKASI,73545300000,RUPIAH,2016
78,32,JAWA BARAT,3276,KOTA DEPOK,0,RUPIAH,2016
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,RUPIAH,2016
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2016
81,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2016
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,607003102448,RUPIAH,2017
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1770140576,RUPIAH,2017
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,RUPIAH,2017
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,926915314281,RUPIAH,2017
86,32,JAWA BARAT,3205,KABUPATEN GARUT,2871620935,RUPIAH,2017
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2017
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2017
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12733350000,RUPIAH,2017
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,47946573680,RUPIAH,2017
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2583496799278,RUPIAH,2017
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1799281116308,RUPIAH,2017
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,51000180000,RUPIAH,2017
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,RUPIAH,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,220889060000,RUPIAH,2017
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,134960027,RUPIAH,2017
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,417679875549,RUPIAH,2017
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7897540000,RUPIAH,2017
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2017
100,32,JAWA BARAT,3271,KOTA BOGOR,15154100000,RUPIAH,2017
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,RUPIAH,2017
103,32,JAWA BARAT,3274,KOTA CIREBON,0,RUPIAH,2017
104,32,JAWA BARAT,3275,KOTA BEKASI,60330642206,RUPIAH,2017
105,32,JAWA BARAT,3276,KOTA DEPOK,0,RUPIAH,2017
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,RUPIAH,2017
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2017
108,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2017
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1260762500000,RUPIAH,2018
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,29774600000,RUPIAH,2018
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,RUPIAH,2018
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29716200000,RUPIAH,2018
113,32,JAWA BARAT,3205,KABUPATEN GARUT,9974900000,RUPIAH,2018
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2018
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2018
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,27915100000,RUPIAH,2018
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,27300000,RUPIAH,2018
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1284697700000,RUPIAH,2018
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2196200000,RUPIAH,2018
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,RUPIAH,2018
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,RUPIAH,2018
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18690600000,RUPIAH,2018
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20344900000,RUPIAH,2018
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,1668521900000,RUPIAH,2018
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,RUPIAH,2018
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2018
127,32,JAWA BARAT,3271,KOTA BOGOR,12436400000,RUPIAH,2018
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2018
129,32,JAWA BARAT,3273,KOTA BANDUNG,25296000000,RUPIAH,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,0,RUPIAH,2018
131,32,JAWA BARAT,3275,KOTA BEKASI,7202200000,RUPIAH,2018
132,32,JAWA BARAT,3276,KOTA DEPOK,176126200000,RUPIAH,2018
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,RUPIAH,2018
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2018
135,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2018
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,313717400000,RUPIAH,2019
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2116700000,RUPIAH,2019
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,360399900000,RUPIAH,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10168600000,RUPIAH,2019
140,32,JAWA BARAT,3205,KABUPATEN GARUT,0,RUPIAH,2019
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2019
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2019
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,RUPIAH,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,10837800000,RUPIAH,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,612272900000,RUPIAH,2019
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,22851000000,RUPIAH,2019
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,RUPIAH,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,370879000000,RUPIAH,2019
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,RUPIAH,2019
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,RUPIAH,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,534504300000,RUPIAH,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,RUPIAH,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,0,RUPIAH,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,RUPIAH,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,0,RUPIAH,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,2168100000,RUPIAH,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,0,RUPIAH,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,47425000000,RUPIAH,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,651427000000,RUPIAH,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,RUPIAH,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,271235700000,RUPIAH,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,RUPIAH,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,0,RUPIAH,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,254700000,RUPIAH,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,RUPIAH,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,20196600000,RUPIAH,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,175985300000,RUPIAH,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,RUPIAH,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,RUPIAH,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,6527700000,RUPIAH,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,68293900000,RUPIAH,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,RUPIAH,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,326045900000,RUPIAH,2020
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,RUPIAH,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,0,RUPIAH,2020
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,RUPIAH,2020
184,32,JAWA BARAT,3274,KOTA CIREBON,0,RUPIAH,2020
185,32,JAWA BARAT,3275,KOTA BEKASI,5757500000,RUPIAH,2020
186,32,JAWA BARAT,3276,KOTA DEPOK,11079700000,RUPIAH,2020
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,RUPIAH,2020
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2020
189,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2020
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,744551600000,RUPIAH,2021
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1434853400000,RUPIAH,2021
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,RUPIAH,2021
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,117249300000,RUPIAH,2021
194,32,JAWA BARAT,3205,KABUPATEN GARUT,1615400000,RUPIAH,2021
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2021
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1891500000,RUPIAH,2021
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,RUPIAH,2021
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,94800000,RUPIAH,2021
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,421823700000,RUPIAH,2021
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,49338400000,RUPIAH,2021
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,RUPIAH,2021
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,55757300000,RUPIAH,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,21863600000,RUPIAH,2021
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,522159100000,RUPIAH,2021
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,267933600000,RUPIAH,2021
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2448400000,RUPIAH,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2021
208,32,JAWA BARAT,3271,KOTA BOGOR,0,RUPIAH,2021
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2021
210,32,JAWA BARAT,3273,KOTA BANDUNG,12262700000,RUPIAH,2021
211,32,JAWA BARAT,3274,KOTA CIREBON,989700000,RUPIAH,2021
212,32,JAWA BARAT,3275,KOTA BEKASI,22420200000,RUPIAH,2021
213,32,JAWA BARAT,3276,KOTA DEPOK,0,RUPIAH,2021
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,RUPIAH,2021
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2021
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,597587200000,RUPIAH,2022
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12203800000,RUPIAH,2022
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12300000000,RUPIAH,2022
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,34026400000,RUPIAH,2022
221,32,JAWA BARAT,3205,KABUPATEN GARUT,909400000,RUPIAH,2022
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2022
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2022
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,659600000,RUPIAH,2022
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,257072000000,RUPIAH,2022
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,262280800000,RUPIAH,2022
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,222400000,RUPIAH,2022
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,RUPIAH,2022
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,2884900000,RUPIAH,2022
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,47835800000,RUPIAH,2022
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1254203300000,RUPIAH,2022
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,205103600000,RUPIAH,2022
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12552100000,RUPIAH,2022
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2022
235,32,JAWA BARAT,3271,KOTA BOGOR,85884800000,RUPIAH,2022
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2022
237,32,JAWA BARAT,3273,KOTA BANDUNG,888500000,RUPIAH,2022
238,32,JAWA BARAT,3274,KOTA CIREBON,0,RUPIAH,2022
239,32,JAWA BARAT,3275,KOTA BEKASI,2242100000,RUPIAH,2022
240,32,JAWA BARAT,3276,KOTA DEPOK,1563600000,RUPIAH,2022
241,32,JAWA BARAT,3277,KOTA CIMAHI,0,RUPIAH,2022
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2022
243,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2022
