id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_proyek,satuan,tahun
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,PROYEK,2016
75,32,JAWA BARAT,3273,KOTA BANDUNG,1,PROYEK,2016
76,32,JAWA BARAT,3274,KOTA CIREBON,0,PROYEK,2016
77,32,JAWA BARAT,3275,KOTA BEKASI,3,PROYEK,2016
78,32,JAWA BARAT,3276,KOTA DEPOK,0,PROYEK,2016
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,PROYEK,2016
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,PROYEK,2016
81,32,JAWA BARAT,3279,KOTA BANJAR,0,PROYEK,2016
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,50,PROYEK,2017
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5,PROYEK,2017
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,PROYEK,2017
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10,PROYEK,2017
86,32,JAWA BARAT,3205,KABUPATEN GARUT,1,PROYEK,2017
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,PROYEK,2017
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,PROYEK,2017
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4,PROYEK,2017
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,16,PROYEK,2017
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8,PROYEK,2017
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8,PROYEK,2017
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,PROYEK,2017
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,PROYEK,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13,PROYEK,2017
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,PROYEK,2017
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,69,PROYEK,2017
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,PROYEK,2017
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,PROYEK,2017
100,32,JAWA BARAT,3271,KOTA BOGOR,8,PROYEK,2017
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,PROYEK,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,2,PROYEK,2017
103,32,JAWA BARAT,3274,KOTA CIREBON,0,PROYEK,2017
104,32,JAWA BARAT,3275,KOTA BEKASI,18,PROYEK,2017
105,32,JAWA BARAT,3276,KOTA DEPOK,5,PROYEK,2017
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,PROYEK,2017
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,PROYEK,2017
108,32,JAWA BARAT,3279,KOTA BANJAR,0,PROYEK,2017
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,65,PROYEK,2018
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14,PROYEK,2018
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,PROYEK,2018
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,17,PROYEK,2018
113,32,JAWA BARAT,3205,KABUPATEN GARUT,2,PROYEK,2018
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,PROYEK,2018
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,PROYEK,2018
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3,PROYEK,2018
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,9,PROYEK,2018
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9,PROYEK,2018
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12,PROYEK,2018
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,PROYEK,2018
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,PROYEK,2018
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18,PROYEK,2018
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,14,PROYEK,2018
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,109,PROYEK,2018
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,PROYEK,2018
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,PROYEK,2018
127,32,JAWA BARAT,3271,KOTA BOGOR,10,PROYEK,2018
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,PROYEK,2018
129,32,JAWA BARAT,3273,KOTA BANDUNG,4,PROYEK,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,0,PROYEK,2018
131,32,JAWA BARAT,3275,KOTA BEKASI,18,PROYEK,2018
132,32,JAWA BARAT,3276,KOTA DEPOK,8,PROYEK,2018
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,PROYEK,2018
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,PROYEK,2018
135,32,JAWA BARAT,3279,KOTA BANJAR,0,PROYEK,2018
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,92,PROYEK,2019
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24,PROYEK,2019
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8,PROYEK,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,22,PROYEK,2019
140,32,JAWA BARAT,3205,KABUPATEN GARUT,0,PROYEK,2019
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,PROYEK,2019
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,PROYEK,2019
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6,PROYEK,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,20,PROYEK,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12,PROYEK,2019
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20,PROYEK,2019
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,PROYEK,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,13,PROYEK,2019
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19,PROYEK,2019
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11,PROYEK,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,111,PROYEK,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6,PROYEK,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,PROYEK,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,19,PROYEK,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,PROYEK,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,2,PROYEK,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,0,PROYEK,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,21,PROYEK,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,12,PROYEK,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,9,PROYEK,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,PROYEK,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,0,PROYEK,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,133,PROYEK,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25,PROYEK,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20,PROYEK,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,21,PROYEK,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,3,PROYEK,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,PROYEK,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,PROYEK,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7,PROYEK,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,29,PROYEK,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11,PROYEK,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15,PROYEK,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,PROYEK,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,9,PROYEK,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,22,PROYEK,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,30,PROYEK,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,117,PROYEK,2020
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,PROYEK,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,PROYEK,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,20,PROYEK,2020
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,PROYEK,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,9,PROYEK,2020
184,32,JAWA BARAT,3274,KOTA CIREBON,0,PROYEK,2020
185,32,JAWA BARAT,3275,KOTA BEKASI,31,PROYEK,2020
186,32,JAWA BARAT,3276,KOTA DEPOK,21,PROYEK,2020
187,32,JAWA BARAT,3277,KOTA CIMAHI,17,PROYEK,2020
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,PROYEK,2020
189,32,JAWA BARAT,3279,KOTA BANJAR,0,PROYEK,2020
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,239,PROYEK,2021
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,26,PROYEK,2021
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14,PROYEK,2021
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,44,PROYEK,2021
194,32,JAWA BARAT,3205,KABUPATEN GARUT,11,PROYEK,2021
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,PROYEK,2021
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,PROYEK,2021
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5,PROYEK,2021
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,38,PROYEK,2021
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20,PROYEK,2021
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,26,PROYEK,2021
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,PROYEK,2021
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,7,PROYEK,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,29,PROYEK,2021
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,73,PROYEK,2021
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,128,PROYEK,2021
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,21,PROYEK,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,PROYEK,2021
208,32,JAWA BARAT,3271,KOTA BOGOR,27,PROYEK,2021
209,32,JAWA BARAT,3272,KOTA SUKABUMI,2,PROYEK,2021
210,32,JAWA BARAT,3273,KOTA BANDUNG,37,PROYEK,2021
211,32,JAWA BARAT,3274,KOTA CIREBON,7,PROYEK,2021
212,32,JAWA BARAT,3275,KOTA BEKASI,53,PROYEK,2021
213,32,JAWA BARAT,3276,KOTA DEPOK,16,PROYEK,2021
214,32,JAWA BARAT,3277,KOTA CIMAHI,22,PROYEK,2021
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,PROYEK,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,0,PROYEK,2021
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,87,PROYEK,2022
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9,PROYEK,2022
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4,PROYEK,2022
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,PROYEK,2022
221,32,JAWA BARAT,3205,KABUPATEN GARUT,7,PROYEK,2022
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,PROYEK,2022
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1,PROYEK,2022
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6,PROYEK,2022
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,33,PROYEK,2022
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13,PROYEK,2022
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11,PROYEK,2022
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,PROYEK,2022
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,PROYEK,2022
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17,PROYEK,2022
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,50,PROYEK,2022
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,80,PROYEK,2022
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13,PROYEK,2022
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,PROYEK,2022
235,32,JAWA BARAT,3271,KOTA BOGOR,25,PROYEK,2022
236,32,JAWA BARAT,3272,KOTA SUKABUMI,2,PROYEK,2022
237,32,JAWA BARAT,3273,KOTA BANDUNG,17,PROYEK,2022
238,32,JAWA BARAT,3274,KOTA CIREBON,3,PROYEK,2022
239,32,JAWA BARAT,3275,KOTA BEKASI,25,PROYEK,2022
240,32,JAWA BARAT,3276,KOTA DEPOK,9,PROYEK,2022
241,32,JAWA BARAT,3277,KOTA CIMAHI,3,PROYEK,2022
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,PROYEK,2022
243,32,JAWA BARAT,3279,KOTA BANJAR,0,PROYEK,2022
